inspectionID,tankID,inspectionDate,inspectorName,inspectionCategory,inspectionResult,InspectionType,comments
I_000025,T_000010,5/4/19,Lucas White,Bottom,Acceptable,Out of order inspection,Inspect for sediment
I_000026,T_000010,5/4/19,Joseph Nguyen,Fixed Roof,Acceptable,Out of order inspection,Check roof seals
I_000027,T_000010,5/4/19,Charlotte Smith,Foundation,Acceptable,Out of order inspection,Inspect foundation bolts
I_000028,T_000011,4/22/18,Henry Johnson,Shell,Acceptable,Routine inspection,Check for structural integrity
I_000029,T_000011,4/22/18,Evelyn Martinez,Nozzle,Acceptable,Routine inspection,Inspect for wear
I_000030,T_000012,7/11/19,Madison Clark,Bottom,Acceptable,Out of order inspection,Check for corrosion
I_000031,T_000012,7/11/19,William Lopez,Shell,Acceptable,Out of order inspection,Inspect for leaks
I_000032,T_000012,7/11/19,Amelia Brown,Fixed Roof,Acceptable,Out of order inspection,Clean roof surface
I_000033,T_000013,12/29/21,Victoria Hernandez,Foundation,Acceptable,Routine inspection,Inspect for cracks
I_000034,T_000013,12/29/21,Lucas White,Bottom,Acceptable,Routine inspection,Check for corrosion
I_000035,T_000014,10/14/19,Joseph Nguyen,Nozzle,Acceptable,Routine inspection,Inspect nozzle seals
I_000036,T_000014,10/14/19,Charlotte Smith,Shell,Acceptable,Routine inspection,Check for rust
I_000037,T_000015,5/4/20,Henry Johnson,Fixed Roof,Acceptable,Out of order inspection,Inspect roof drainage
I_000038,T_000015,5/4/20,Evelyn Martinez,Aerial,Acceptable,Out of order inspection,Check for cracks
I_000039,T_000015,5/4/20,Madison Clark,Bottom,Acceptable,Out of order inspection,Inspect for leaks
I_000040,T_000016,8/19/21,William Lopez,Shell,Acceptable,Routine inspection,Check for corrosion
I_000041,T_000016,8/19/21,Amelia Brown,Nozzle,Acceptable,Routine inspection,Inspect nozzle connections
I_000042,T_000017,11/9/20,Victoria Hernandez,Bottom,Acceptable,Routine inspection,Check for sediment buildup
I_000043,T_000017,11/9/20,Lucas White,Fixed Roof,Acceptable,Routine inspection,Inspect roof vents
I_000044,T_000017,11/9/20,Joseph Nguyen,Shell,Acceptable,Routine inspection,Check for leaks
I_000045,T_000018,1/27/20,Charlotte Smith,Nozzle,Acceptable,Routine inspection,Inspect nozzle seals
I_000046,T_000018,1/27/20,Henry Johnson,Foundation,Acceptable,Routine inspection,Inspect foundation bolts
I_000047,T_000019,3/16/22,Evelyn Martinez,Bottom,Acceptable,Emergency inspection,Inspect for corrosion
I_000048,T_000019,3/16/22,Madison Clark,Shell,Acceptable,Emergency inspection,Check for leaks
I_000049,T_000020,4/21/22,William Lopez,Fixed Roof,Acceptable,Routine inspection,Inspect roof integrity
I_000050,T_000020,4/21/22,Amelia Brown,Foundation,Acceptable,Routine inspection,Inspect for cracks
I_000051,T_000020,4/21/22,Victoria Hernandez,Nozzle,Acceptable,Routine inspection,Inspect nozzle connections
I_000052,T_000021,5/23/23,Lucas White,Bottom,Acceptable,Routine inspection,Check for sediment buildup
I_000053,T_000021,5/23/23,Joseph Nguyen,Shell,Acceptable,Routine inspection,Check for leaks
I_000054,T_000022,6/29/23,Charlotte Smith,Fixed Roof,Acceptable,Routine inspection,Inspect roof vents
I_000055,T_000022,6/29/23,Henry Johnson,Foundation,Acceptable,Routine inspection,Inspect for cracks
I_000056,T_000022,6/29/23,Amelia Brown,Nozzle,Acceptable,Routine inspection,Inspect nozzle connections
I_000057,T_000023,7/4/23,Victoria Hernandez,Bottom,Acceptable,Emergency inspection,Check for sediment buildup
I_000058,T_000023,7/4/23,Lucas White,Aerial,Acceptable,Emergency inspection,Inspect roof vents
I_000059,T_000023,7/4/23,Joseph Nguyen,Shell,Acceptable,Emergency inspection,Check for leaks
I_000060,T_000024,8/9/23,Charlotte Smith,Nozzle,Acceptable,Routine inspection,Inspect nozzle seals
I_000061,T_000024,8/10/23,Henry Johnson,Foundation,Acceptable,Routine inspection,Inspect foundation bolts
I_000062,T_000024,8/11/23,Amelia Brown,Bottom,Acceptable,Routine inspection,Inspect for corrosion
I_000063,T_000025,9/13/23,Evelyn Martinez,Shell,Acceptable,Emergency inspection,Check for leaks
I_000064,T_000025,9/14/23,Madison Clark,Fixed Roof,Acceptable,Emergency inspection,Inspect roof vents
I_000065,T_000025,9/15/23,William Lopez,Foundation,Acceptable,Emergency inspection,Inspect for cracks
I_000066,T_000026,10/19/23,Amelia Brown,Nozzle,Acceptable,Routine inspection,Inspect nozzle connections
I_000067,T_000026,10/19/23,Victoria Hernandez,Shell,Acceptable,Routine inspection,Check for leaks
I_000068,T_000027,11/24/23,Henry Johnson,Fixed Roof,Acceptable,Out of order inspection,Inspect roof drainage
I_000069,T_000027,11/25/23,Amelia Brown,Foundation,Acceptable,Out of order inspection,Inspect for cracks
I_000070,T_000027,11/26/23,Lucas White,Bottom,Acceptable,Out of order inspection,Inspect for corrosion
I_000071,T_000028,12/29/23,Joseph Nguyen,Shell,Acceptable,Routine inspection,Check for leaks
I_000072,T_000028,12/29/23,Charlotte Smith,Nozzle,Acceptable,Routine inspection,Inspect nozzle seals
I_000073,T_000029,1/4/24,Henry Johnson,Foundation,Acceptable,Routine inspection,Inspect foundation bolts
I_000074,T_000029,1/5/24,Amelia Brown,Bottom,Acceptable,Routine inspection,Inspect for corrosion
I_000075,T_000029,1/6/24,William Lopez,Shell,Acceptable,Routine inspection,Check for leaks
I_000076,T_000030,2/8/23,Evelyn Martinez,Fixed Roof,Acceptable,NDE inspection,Inspect roof vents
I_000077,T_000030,2/8/23,Madison Clark,Foundation,Acceptable,NDE inspection,Inspect for cracks
I_000078,T_000030,2/8/23,Lucas White,Bottom,Acceptable,NDE inspection,Inspect for corrosion
I_000079,T_000031,4/27/19,William Lopez,Shell,Acceptable,Routine inspection,Check for leaks
I_000080,T_000031,4/28/19,Amelia Brown,Nozzle,Acceptable,Routine inspection,Inspect nozzle seals
I_000081,T_000031,4/29/19,Victoria Hernandez,Fixed Roof,Acceptable,Routine inspection,Inspect roof drainage
I_000082,T_000032,7/15/20,Henry Johnson,Foundation,Acceptable,Routine inspection,Inspect foundation bolts
I_000083,T_000032,7/15/20,Lucas White,Bottom,Acceptable,Routine inspection,Inspect for corrosion
I_000084,T_000033,1/3/22,Amelia Brown,Shell,Acceptable,Emergency inspection,Check for leaks
I_000085,T_000033,1/3/22,Victoria Hernandez,Nozzle,Acceptable,Emergency inspection,Inspect nozzle seals
I_000086,T_000034,10/19/18,William Lopez,Fixed Roof,Acceptable,Routine inspection,Inspect roof vents
I_000087,T_000034,10/20/18,Amelia Brown,Foundation,Acceptable,Routine inspection,Inspect for cracks
I_000088,T_000034,10/21/18,Lucas White,Bottom,Acceptable,Routine inspection,Inspect for corrosion
I_000089,T_000035,5/8/20,Joseph Nguyen,Shell,Acceptable,Out of order inspection,Check for leaks
I_000090,T_000035,5/8/20,Charlotte Smith,Nozzle,Acceptable,Out of order inspection,Inspect nozzle seals
I_000091,T_000035,5/8/20,Henry Johnson,Fixed Roof,Acceptable,Out of order inspection,Inspect roof drainage
I_000092,T_000036,8/24/19,Madison Clark,Foundation,Acceptable,Routine inspection,Inspect for cracks
I_000093,T_000036,8/25/19,William Lopez,Bottom,Acceptable,Routine inspection,Inspect for corrosion
I_000094,T_000036,8/26/19,Amelia Brown,Shell,Acceptable,Routine inspection,Check for leaks
I_000095,T_000037,11/14/21,Victoria Hernandez,Nozzle,Acceptable,NDE inspection,Inspect nozzle seals
I_000096,T_000037,11/15/21,Lucas White,Aerial,Acceptable,NDE inspection,Inspect roof vents
I_000097,T_000038,1/31/21,Joseph Nguyen,Foundation,Acceptable,Routine inspection,Inspect foundation bolts
I_000098,T_000038,2/1/21,Charlotte Smith,Bottom,Acceptable,Routine inspection,Inspect for corrosion
I_000099,T_000038,2/2/21,Henry Johnson,Shell,Acceptable,Routine inspection,Check for leaks
I_000100,T_000039,6/19/19,Evelyn Martinez,Nozzle,Acceptable,Routine inspection,Inspect nozzle seals
I_000101,T_000039,6/20/19,Madison Clark,Fixed Roof,Acceptable,Routine inspection,Inspect roof drainage
I_000102,T_000039,6/21/19,William Lopez,Foundation,Acceptable,Routine inspection,Inspect for cracks
I_000103,T_000040,5/8/20,Amelia Brown,Bottom,Acceptable,Routine inspection,Inspect for corrosion
I_000104,T_000040,5/9/20,Victoria Hernandez,Shell,Acceptable,Routine inspection,Check for leaks
I_000105,T_000040,5/10/20,Lucas White,Nozzle,Acceptable,Routine inspection,Inspect nozzle seals
I_000106,T_000041,4/27/19,Joseph Nguyen,Aerial,Acceptable,Routine inspection,Inspect roof vents
I_000107,T_000041,4/28/19,Charlotte Smith,Foundation,Acceptable,Routine inspection,Inspect for cracks
I_000108,T_000041,4/29/19,Henry Johnson,Bottom,Acceptable,Routine inspection,Inspect for corrosion
I_000109,T_000042,7/15/20,Evelyn Martinez,Shell,Acceptable,Routine inspection,Check for leaks
I_000110,T_000042,7/16/20,Madison Clark,Nozzle,Acceptable,Routine inspection,Inspect nozzle seals
I_000111,T_000042,7/17/20,William Lopez,Fixed Roof,Acceptable,Routine inspection,Inspect roof drainage
I_000112,T_000043,1/3/23,Amelia Brown,Foundation,Acceptable,Out of order inspection,Inspect for cracks
I_000113,T_000043,1/4/23,Victoria Hernandez,Bottom,Acceptable,Out of order inspection,Inspect for corrosion
I_000114,T_000043,1/5/23,Lucas White,Shell,Acceptable,Out of order inspection,Check for leaks
I_000115,T_000044,10/18/20,Joseph Nguyen,Nozzle,Acceptable,Routine inspection,Inspect nozzle seals
I_000116,T_000044,10/19/20,Charlotte Smith,Fixed Roof,Acceptable,Routine inspection,Inspect roof vents
I_000117,T_000044,10/20/20,Henry Johnson,Foundation,Acceptable,Routine inspection,Inspect for cracks
I_000118,T_000045,5/9/21,Evelyn Martinez,Bottom,Acceptable,Routine inspection,Inspect for corrosion
I_000119,T_000045,5/10/21,Madison Clark,Shell,Acceptable,Routine inspection,Check for leaks
I_000120,T_000045,5/11/21,William Lopez,Nozzle,Acceptable,Routine inspection,Inspect nozzle seals
I_000121,T_000046,8/24/22,Amelia Brown,Aerial,Acceptable,Routine inspection,Inspect roof drainage
I_000122,T_000046,8/25/22,Victoria Hernandez,Foundation,Acceptable,Routine inspection,Inspect for cracks
I_000123,T_000046,8/26/22,Lucas White,Bottom,Acceptable,Routine inspection,Inspect for corrosion
I_000124,T_000047,11/14/21,Joseph Nguyen,Shell,Acceptable,Routine inspection,Check for leaks
I_000125,T_000047,11/15/21,Charlotte Smith,Nozzle,Acceptable,Routine inspection,Inspect nozzle seals
I_000126,T_000047,11/16/21,Henry Johnson,Fixed Roof,Acceptable,Routine inspection,Inspect roof vents
I_000127,T_000048,1/31/21,Evelyn Martinez,Foundation,Acceptable,Out of order inspection,Inspect for cracks
I_000128,T_000048,2/1/21,Madison Clark,Bottom,Acceptable,Out of order inspection,Inspect for corrosion
I_000129,T_000048,2/2/21,William Lopez,Shell,Acceptable,Out of order inspection,Check for leaks
I_000130,T_000049,3/21/23,Amelia Brown,Nozzle,Acceptable,Routine inspection,Inspect nozzle seals
I_000131,T_000049,3/22/23,Victoria Hernandez,Fixed Roof,Acceptable,Routine inspection,Inspect roof drainage
I_000132,T_000049,3/23/23,Lucas White,Foundation,Acceptable,Routine inspection,Inspect for cracks
I_000133,T_000050,4/26/23,Henry Johnson,Bottom,Acceptable,Routine inspection,Inspect for corrosion
I_000134,T_000050,4/27/23,Evelyn Martinez,Shell,Acceptable,Routine inspection,Check for leaks
I_000135,T_000050,4/28/23,Madison Clark,Nozzle,Acceptable,Routine inspection,Inspect nozzle seals
I_000136,T_000051,5/28/23,William Lopez,Fixed Roof,Acceptable,Routine inspection,Inspect roof vents
I_000137,T_000051,5/29/23,Amelia Brown,Foundation,Acceptable,Routine inspection,Inspect for cracks
I_000138,T_000051,5/30/23,Victoria Hernandez,Bottom,Acceptable,Routine inspection,Inspect for corrosion
I_000139,T_000052,7/3/23,Lucas White,Shell,Acceptable,Emergency inspection,Check for leaks
I_000140,T_000052,7/4/23,Joseph Nguyen,Nozzle,Acceptable,Emergency inspection,Inspect nozzle seals
I_000141,T_000052,7/5/23,Charlotte Smith,Fixed Roof,Acceptable,Emergency inspection,Inspect roof drainage
I_000142,T_000053,7/8/23,Henry Johnson,Foundation,Acceptable,Routine inspection,Inspect for cracks
I_000143,T_000053,7/9/23,Evelyn Martinez,Bottom,Acceptable,Routine inspection,Inspect for corrosion
I_000144,T_000053,7/10/23,Madison Clark,Shell,Acceptable,Routine inspection,Check for leaks
I_000145,T_000054,8/13/23,William Lopez,Nozzle,Acceptable,Routine inspection,Inspect nozzle seals
I_000146,T_000054,8/14/23,Amelia Brown,Aerial,Acceptable,Routine inspection,Inspect roof vents
I_000147,T_000054,8/15/23,Victoria Hernandez,Foundation,Acceptable,Routine inspection,Inspect for cracks
I_000148,T_000055,9/17/23,Lucas White,Bottom,Acceptable,Routine inspection,Inspect for corrosion
I_000149,T_000055,9/18/23,Joseph Nguyen,Shell,Acceptable,Routine inspection,Check for leaks
I_000150,T_000055,9/19/23,Charlotte Smith,Nozzle,Acceptable,Routine inspection,Inspect nozzle seals
I_000151,T_000056,10/23/23,Henry Johnson,Fixed Roof,Acceptable,NDE inspection,Inspect roof drainage
I_000152,T_000056,10/24/23,Evelyn Martinez,Foundation,Acceptable,NDE inspection,Inspect for cracks
I_000153,T_000056,10/25/23,Madison Clark,Bottom,Acceptable,NDE inspection,Inspect for corrosion
I_000154,T_000057,11/28/23,William Lopez,Shell,Acceptable,Routine inspection,Check for leaks
I_000155,T_000057,11/29/23,Amelia Brown,Nozzle,Acceptable,Routine inspection,Inspect nozzle seals
I_000156,T_000057,11/30/23,Victoria Hernandez,Fixed Roof,Acceptable,Routine inspection,Inspect roof vents
I_000157,T_000058,1/2/24,Lucas White,Foundation,Acceptable,Routine inspection,Inspect for cracks
I_000158,T_000058,1/3/24,Joseph Nguyen,Bottom,Acceptable,Routine inspection,Inspect for corrosion
I_000159,T_000058,1/4/24,Charlotte Smith,Shell,Acceptable,Routine inspection,Check for leaks
I_000160,T_000059,1/8/24,Henry Johnson,Nozzle,Acceptable,Emergency inspection,Inspect nozzle seals
I_000161,T_000059,1/9/24,Evelyn Martinez,Fixed Roof,Acceptable,Emergency inspection,Inspect roof drainage
I_000162,T_000059,1/10/24,Madison Clark,Foundation,Acceptable,Emergency inspection,Inspect for cracks
I_000163,T_000060,2/12/24,William Lopez,Bottom,Acceptable,NDE inspection,Inspect for corrosion
I_000164,T_000060,2/13/24,Amelia Brown,Shell,Acceptable,NDE inspection,Check for leaks
I_000165,T_000060,2/14/24,Victoria Hernandez,Nozzle,Acceptable,NDE inspection,Inspect nozzle seals
I_000166,T_000061,7/1/18,Lucas White,Fixed Roof,Acceptable,Emergency inspection,Inspect roof vents
I_000167,T_000061,7/2/18,Joseph Nguyen,Foundation,Acceptable,Emergency inspection,Inspect for cracks
I_000168,T_000061,7/3/18,Charlotte Smith,Bottom,Acceptable,Emergency inspection,Inspect for corrosion
I_000169,T_000062,9/19/19,Henry Johnson,Shell,Acceptable,Routine inspection,Check for leaks
I_000170,T_000062,9/20/19,Evelyn Martinez,Nozzle,Acceptable,Routine inspection,Inspect nozzle seals
I_000171,T_000062,9/21/19,Madison Clark,Fixed Roof,Acceptable,Routine inspection,Inspect roof drainage
I_000172,T_000063,3/9/21,William Lopez,Foundation,Acceptable,NDE inspection,Inspect for cracks
I_000173,T_000063,3/10/21,Amelia Brown,Bottom,Acceptable,NDE inspection,Inspect for corrosion
I_000174,T_000063,3/11/21,Victoria Hernandez,Shell,Acceptable,NDE inspection,Check for leaks
I_000175,T_000064,12/23/17,Lucas White,Nozzle,Acceptable,Routine inspection,Inspect nozzle seals
I_000176,T_000064,12/24/17,Joseph Nguyen,Aerial,Acceptable,Routine inspection,Inspect roof vents
I_000177,T_000064,12/25/17,Charlotte Smith,Foundation,Acceptable,Routine inspection,Inspect for cracks
I_000178,T_000065,7/13/19,Henry Johnson,Bottom,Acceptable,Routine inspection,Inspect for corrosion
I_000179,T_000065,7/14/19,Evelyn Martinez,Shell,Acceptable,Routine inspection,Check for leaks
I_000180,T_000065,7/15/19,Madison Clark,Nozzle,Acceptable,Routine inspection,Inspect nozzle seals
I_000181,T_000066,10/28/18,William Lopez,Fixed Roof,Acceptable,Routine inspection,Inspect roof drainage
I_000182,T_000066,10/29/18,Amelia Brown,Foundation,Acceptable,Routine inspection,Inspect for cracks
I_000183,T_000066,10/30/18,Victoria Hernandez,Bottom,Acceptable,Routine inspection,Inspect for corrosion
I_000184,T_000067,1/18/21,Lucas White,Shell,Acceptable,Out of order inspection,Check for leaks
I_000185,T_000067,1/19/21,Joseph Nguyen,Nozzle,Acceptable,Out of order inspection,Inspect nozzle seals
I_000186,T_000067,1/20/21,Charlotte Smith,Fixed Roof,Acceptable,Out of order inspection,Inspect roof vents
I_000187,T_000068,4/6/20,Henry Johnson,Foundation,Acceptable,Routine inspection,Inspect for cracks
I_000188,T_000068,4/7/20,Evelyn Martinez,Bottom,Acceptable,Routine inspection,Inspect for corrosion
I_000189,T_000068,4/8/20,Madison Clark,Shell,Acceptable,Routine inspection,Check for leaks
I_000190,T_000069,8/22/18,William Lopez,Nozzle,Acceptable,Routine inspection,Inspect nozzle seals
I_000191,T_000069,8/23/18,Amelia Brown,Fixed Roof,Acceptable,Routine inspection,Inspect roof drainage
I_000192,T_000069,8/24/18,Victoria Hernandez,Foundation,Acceptable,Routine inspection,Inspect for cracks
I_000193,T_000070,7/13/19,Lucas White,Bottom,Acceptable,NDE inspection,Inspect for corrosion
I_000194,T_000070,7/14/19,Joseph Nguyen,Shell,Acceptable,NDE inspection,Check for leaks
I_000195,T_000070,7/15/19,Charlotte Smith,Nozzle,Acceptable,NDE inspection,Inspect nozzle seals
I_000196,T_000071,7/1/18,Henry Johnson,Aerial,Acceptable,Routine inspection,Inspect roof vents
I_000197,T_000071,7/2/18,Evelyn Martinez,Foundation,Acceptable,Routine inspection,Inspect for cracks
I_000198,T_000071,7/3/18,Madison Clark,Bottom,Acceptable,Routine inspection,Inspect for corrosion
I_000199,T_000072,9/19/19,William Lopez,Shell,Acceptable,Routine inspection,Check for leaks
I_000200,T_000072,9/20/19,Amelia Brown,Nozzle,Acceptable,Routine inspection,Inspect nozzle seals
I_000201,T_000072,9/21/19,Victoria Hernandez,Fixed Roof,Acceptable,Routine inspection,Inspect roof drainage
I_000202,T_000073,3/9/22,Lucas White,Foundation,Acceptable,Out of order inspection,Inspect for cracks
I_000203,T_000073,3/10/22,Joseph Nguyen,Bottom,Acceptable,Out of order inspection,Inspect for corrosion
I_000204,T_000073,3/11/22,Charlotte Smith,Shell,Acceptable,Out of order inspection,Check for leaks
I_000205,T_000074,12/23/19,Henry Johnson,Nozzle,Acceptable,Emergency inspection,Inspect nozzle seals
I_000206,T_000074,12/24/19,Evelyn Martinez,Fixed Roof,Acceptable,Emergency inspection,Inspect roof vents
I_000207,T_000074,12/25/19,Madison Clark,Foundation,Acceptable,Emergency inspection,Inspect for cracks
I_000208,T_000075,7/13/20,William Lopez,Bottom,Acceptable,Routine inspection,Inspect for corrosion
I_000209,T_000075,7/14/20,Amelia Brown,Shell,Acceptable,Routine inspection,Check for leaks
I_000210,T_000075,7/15/20,Victoria Hernandez,Nozzle,Acceptable,Routine inspection,Inspect nozzle seals
I_000211,T_000076,10/28/21,Lucas White,Fixed Roof,Acceptable,Routine inspection,Inspect roof drainage
I_000212,T_000076,10/29/21,Joseph Nguyen,Foundation,Acceptable,Routine inspection,Inspect for cracks
I_000213,T_000076,10/30/21,Charlotte Smith,Bottom,Acceptable,Routine inspection,Inspect for corrosion
I_000214,T_000077,1/18/21,Henry Johnson,Shell,Acceptable,Routine inspection,Check for leaks
I_000215,T_000077,1/19/21,Evelyn Martinez,Nozzle,Acceptable,Routine inspection,Inspect nozzle seals
I_000216,T_000077,1/20/21,Madison Clark,Fixed Roof,Acceptable,Routine inspection,Inspect roof vents
I_000217,T_000078,4/6/20,William Lopez,Foundation,Acceptable,Out of order inspection,Inspect for cracks
I_000218,T_000078,4/7/20,Amelia Brown,Bottom,Acceptable,Out of order inspection,Inspect for corrosion
I_000219,T_000078,4/8/20,Victoria Hernandez,Shell,Acceptable,Out of order inspection,Check for leaks
I_000220,T_000079,5/25/22,Lucas White,Nozzle,Acceptable,Routine inspection,Inspect nozzle seals
I_000221,T_000079,5/26/22,Joseph Nguyen,Fixed Roof,Acceptable,Routine inspection,Inspect roof drainage
I_000222,T_000079,5/27/22,Charlotte Smith,Foundation,Acceptable,Routine inspection,Inspect for cracks
I_000223,T_000080,6/30/22,Henry Johnson,Bottom,Acceptable,Routine inspection,Inspect for corrosion
I_000224,T_000080,7/1/22,Evelyn Martinez,Shell,Acceptable,Routine inspection,Check for leaks
I_000225,T_000080,7/2/22,Madison Clark,Nozzle,Acceptable,Routine inspection,Inspect nozzle seals
I_000226,T_000081,8/2/23,William Lopez,Aerial,Acceptable,Routine inspection,Inspect roof vents
I_000227,T_000081,8/3/23,Amelia Brown,Foundation,Acceptable,Routine inspection,Inspect for cracks
I_000228,T_000081,8/4/23,Victoria Hernandez,Bottom,Acceptable,Routine inspection,Inspect for corrosion
I_000229,T_000082,9/7/23,Lucas White,Shell,Acceptable,Routine inspection,Check for leaks
I_000230,T_000082,9/8/23,Joseph Nguyen,Nozzle,Acceptable,Routine inspection,Inspect nozzle seals
I_000231,T_000082,9/9/23,Charlotte Smith,Fixed Roof,Acceptable,Routine inspection,Inspect roof drainage
I_000232,T_000083,9/12/23,Henry Johnson,Foundation,Acceptable,Out of order inspection,Inspect for cracks
I_000233,T_000083,9/13/23,Evelyn Martinez,Bottom,Acceptable,Out of order inspection,Inspect for corrosion
I_000234,T_000083,9/14/23,Madison Clark,Shell,Acceptable,Out of order inspection,Check for leaks
I_000235,T_000084,10/18/23,William Lopez,Nozzle,Acceptable,Routine inspection,Inspect nozzle seals
I_000236,T_000084,10/19/23,Amelia Brown,Fixed Roof,Acceptable,Routine inspection,Inspect roof vents
I_000237,T_000084,10/20/23,Victoria Hernandez,Foundation,Acceptable,Routine inspection,Inspect for cracks
I_000238,T_000085,11/22/23,Lucas White,Bottom,Acceptable,Routine inspection,Inspect for corrosion
I_000239,T_000085,11/23/23,Joseph Nguyen,Shell,Acceptable,Routine inspection,Check for leaks
I_000240,T_000085,11/24/23,Charlotte Smith,Nozzle,Acceptable,Routine inspection,Inspect nozzle seals
I_000241,T_000086,12/28/23,Henry Johnson,Fixed Roof,Acceptable,Routine inspection,Inspect roof drainage
I_000242,T_000086,12/29/23,Evelyn Martinez,Foundation,Acceptable,Routine inspection,Inspect for cracks
I_000243,T_000086,12/30/23,Madison Clark,Bottom,Acceptable,Routine inspection,Inspect for corrosion
I_000244,T_000087,2/2/23,William Lopez,Shell,Acceptable,Routine inspection,Check for leaks
I_000245,T_000087,2/3/23,Amelia Brown,Nozzle,Acceptable,Routine inspection,Inspect nozzle seals
I_000246,T_000087,2/4/23,Victoria Hernandez,Fixed Roof,Acceptable,Routine inspection,Inspect roof vents
I_000247,T_000088,3/9/23,Lucas White,Foundation,Acceptable,Out of order inspection,Inspect for cracks
I_000248,T_000088,3/10/23,Joseph Nguyen,Bottom,Acceptable,Out of order inspection,Inspect for corrosion
I_000249,T_000088,3/11/23,Charlotte Smith,Shell,Acceptable,Out of order inspection,Check for leaks
I_000250,T_000089,3/15/23,Henry Johnson,Nozzle,Acceptable,Emergency inspection,Inspect nozzle seals
I_000251,T_000089,3/16/23,Evelyn Martinez,Fixed Roof,Acceptable,Emergency inspection,Inspect roof drainage
I_000252,T_000089,3/17/23,Madison Clark,Foundation,Acceptable,Emergency inspection,Inspect for cracks
I_000253,T_000090,4/18/23,William Lopez,Bottom,Acceptable,Routine inspection,Inspect for corrosion
I_000254,T_000090,4/19/23,Amelia Brown,Shell,Acceptable,Routine inspection,Check for leaks
I_000255,T_000090,4/20/23,Victoria Hernandez,Nozzle,Acceptable,Routine inspection,Inspect nozzle seals
I_000256,T_000091,10/9/18,Lucas White,Fixed Roof,Acceptable,Routine inspection,Inspect roof vents
I_000257,T_000091,10/10/18,Joseph Nguyen,Foundation,Acceptable,Routine inspection,Inspect for cracks
I_000258,T_000091,10/11/18,Charlotte Smith,Bottom,Acceptable,Routine inspection,Inspect for corrosion
I_000259,T_000092,12/28/19,Henry Johnson,Shell,Acceptable,Routine inspection,Check for leaks
I_000260,T_000092,12/29/19,Evelyn Martinez,Nozzle,Acceptable,Routine inspection,Inspect nozzle seals
I_000261,T_000092,12/30/19,Madison Clark,Fixed Roof,Acceptable,Routine inspection,Inspect roof drainage
I_000262,T_000093,6/17/21,William Lopez,Foundation,Acceptable,Out of order inspection,Inspect for cracks
I_000263,T_000093,6/18/21,Amelia Brown,Bottom,Acceptable,Out of order inspection,Inspect for corrosion
I_000264,T_000093,6/19/21,Victoria Hernandez,Shell,Acceptable,Out of order inspection,Check for leaks
I_000265,T_000094,4/2/18,Lucas White,Nozzle,Acceptable,Routine inspection,Inspect nozzle seals
I_000266,T_000094,4/3/18,Joseph Nguyen,Fixed Roof,Acceptable,Routine inspection,Inspect roof vents
